,video_ids,nsfw_scores
549,9PpFH1G9Ivo,0.0146
550,ADSRX8Khvsg,0.0001
551,EgTPljXGyHc,0.0054
552,qI9z1ECGrHk,0.0501
553,hf8uS5meTW0,0.0239
554,yvhqzqU4k_M,0.0011
555,9kQPnFXQBmw,0.0105
556,Qu35sMSOW94,0.0001
557,er3iftyYxbs,0.0276
558,QPxrA-9CUPQ,0.0014
559,phieTCxQRLA,0.0223
560,TPo8nXTxm44,0.0025
561,mJnKfITnebg,0.0459
562,Xdwubdx8wT8,0.0445
563,M9hVE5DiGDQ,0.001
564,b_sUXZbJbPY,0.0388
565,Ns8NvPPHX5Y,0.0192
566,B7yOO4oKMVc,0.0168
567,aZ54seKWEEU,0.0122
568,RqhGUc5ynQ8,0.0046
569,ls2TxZ2afBc,0.0143
570,TgU3IvrrvxM,0.0599
571,I_CwFdp5vHo,0.0074
572,uZFo7lKGEqo,0.026
573,P3hpKBXYeEA,0.0015
574,2TbTzOLo6lw,0.001
575,ay2shlCzl24,0.2186
576,StnPwg1TVVA,0.002
577,lCeb1gAWdWU,0.0101
578,qEmr5xFEQ0k,0.0036
579,a8ds6SnOGow,0.0113
580,NSh6dHxLEME,0.2915
581,Zo1T_gGIDBQ,0.0046
582,pWizDn1OVDg,0.0054
583,DXDBTpLdJWo,0.0027
584,BPGgyputhpA,0.0012
585,rxmmOtjOlaE,0.657
586,SkgPFSuppr4,0.0048
587,kxS7IgTZebs,0.0005
588,PM_RY6aCJfA,0.5405
589,eY8lhv-Uzdc,0.0443
590,J53FcfuSlYA,0.0033
591,ZYetOeg1FnU,0.0668
592,Iibs7buNwxQ,0.0019
593,y1RaFUcWr4s,0.0105
594,aKLobzbLxuY,0.0016
595,E1Ihrqggnnc,0.0272
596,J5twEwothwc,0.0717
597,w9Km4iVsUeQ,0.0201
598,yhk5u-jl8Us,0.0021
599,g435_rZCt3s,0.0523
600,V8GiTYD6PVA,0.0102
601,4tdKl-gTpZg,0.0011
602,MrTz5xjmso4,0.0044
603,NvKjO-8DusE,0.0833
604,URWlgTItsKY,0.0319
605,g3DuMiplGHU,0.07
606,-xBAM1TRSKA,0.0051
607,TREEmJ51I7E,0.0319
608,S383OvjXX48,0.0233
609,gQ0mfeLqcW0,0.0202
610,rz12loouSsE,0.0261
611,co2VgbHvgVI,0.0002
612,7cpWa0La_AA,0.0015
613,nXnC64dfPHY,0.0555
614,ns1Vs_csIus,0.0008
615,heP_2lh3cBA,0.002
616,5vCPSCTvzCQ,0.0037
617,5uvA7kss6us,0.0081
618,QA4qE4zFl-Q,0.0166
619,Hv-sbtCAz9Y,0.0057
620,PjsuqH2azIU,0.0158
621,-vHNJ_QacGo,0.0509
622,vsQYI5Ajwp4,0.0026
623,Athe_fFxSTI,0.0005
624,2_rHzLTBQ64,0.0576
625,jDdYFhzVCDM,0.0094
626,N4HxatJR6vI,0.0376
627,BIjZk_i63Xw,0.0112
628,oCouS7rN0ug,0.1348
629,uvNZHnSIZKY,0.0902
630,SJN903kCJrc,0.0002
631,i6DaUHROjTg,0.0008
632,u78R_F_GBUU,0.0032
633,O9wG5jGP32M,0.0328
634,kT7QqQ8DTNI,0.1108
635,TxIFhCuq59Y,0.011
636,IKhvMqAN3ak,0.0021
637,6fBqGUaJ0tc,0.0008
638,kDV6q4pSMn8,0.2852
639,_6divRapsPU,0.0033
640,c2g_2q5WyDs,0.0188
641,MO7IZBahhZE,0.0037
642,jPhJbKBuNnA,0.029
643,TGrRZuHs3LA,0.004
644,gy6t3J0IBkM,0.0004
645,CLzUtMiq1N4,0.0128
646,GPmtG9TPNpg,0.0005
647,ju45riNZfog,0.0038
648,Jp-Ud-gcmsw,0.1767
649,DGd917ByNmA,0.0167
650,qYZphgX0YBs,0.0005
651,sRhw-0H92N4,0.0024
652,22tvGw05LfY,0.0038
653,ubZlTCB2Ow8,0.0014
654,fbuAJqV4d8I,0.0007
655,EZnPbrCp0bo,0.0065
656,z5WrgDzNIZ0,0.0465
657,s4NByTUIBbY,0.0013
658,WwegHIytnaw,0.0143
659,CRThXlGoWqM,0.0026
660,_d_0hA3uQr8,0.1634
661,8pGy-8s0QoU,0.0565
662,PYcXcz92_WI,0.0002
663,YD1dNpelSpg,0.0027
664,p7uyIG868YU,0.0298
665,O8rfLiLHZek,0.6463
666,VQojqjCKyU8,0.001
667,A10gB46C8bE,0.0133
668,I2QwlKXu_Yo,0.2491
669,eqStJPp-EfM,0.4769
670,qnD1S-NhA8Q,0.0119
671,ZWkXhB06sEE,0.0035
672,8w1BHjOv7VM,0.005
673,LMxFb-Eglp0,0.0006
674,BTY2h9HZRTs,0.2945
675,LMdo2bxg-r8,0.0519
676,-MHmEhxSums,0.0001
677,Cg_TkQkfJEA,0.0042
678,3qaQvd6n154,0.0146
679,oGSBfE3VUns,0.0036
680,bqszoG7edts,0.0007
681,mP2FmbhU_-k,0.0223
682,dcuNq3Bw9Xs,0.0002
683,8i_wZQoqbwU,0.0016
684,5a3GB-ZUygE,0.0327
685,bLSxgNSWaNs,0.001
686,Vg2uDG60T9k,0.0044
687,R9UsmrVEWYY,0.0005
688,1oqDtVbCCkM,0.0914
689,nXno_ktOU_k,0.4359
690,HPtMjCQqLkM,0.0012
691,9Ji5U2sTlLU,0.0593
692,pw-7v6VYhQc,0.0134
693,bX_IbBVZir0,0.0175
694,HHorIrYZHsA,0.0027
695,NZlClr_ivb4,0.0402
696,gAs9HZC9c7Y,0.1811
697,lW_-zpKU-cU,0.0044
698,pVyJ7D3dnys,0.0003
699,MOt5GWrSU84,0.0147
700,_HHV7x4gkYU,0.0484
701,MwLW6c_dYLU,0.001
702,WCQ4TEP2eO4,0.3539
703,yPnGZBpvjN0,0.021
704,st8-EY71K84,0.3592
705,yz7Cn3pHibo,0.0018
706,Kf0fuuSQcHc,0.0051
707,Kt4jKSTHNUE,0.0062
708,e8cOZ2BOtM8,0.0007
709,GH8AotRnVWU,0.0014
710,-UZ2EGcgAMY,0.057
711,ZDnV9wzhz7w,0.0049
712,vRcU4ZN_LjA,0.0064
713,iIeKyoYMs2M,0.0007
714,WhaTru5czpA,0.0604
715,x-I4OanmWQg,0.0025
716,VGdHVQCGdqo,0.0019
717,eI_FqHi5ilw,0.0061
718,V-KrRdBH7b4,0.0285
719,RhEmkJBga7E,0.095
720,pf9WOuzeWhw,0.0071
721,-Hm8PSnSGyE,0.0787
722,uc5H7a2OFcQ,0.0021
723,gMrC-W1Yt1s,0.005
724,Y2uu5W2wpdc,0.0019
725,FX9EyJa1zHE,0.0065
726,fCDAbdIdiu8,0.0344
727,zH9PD6UXwBU,0.0014
728,gCIzDxOrcP8,0.0
729,qHhKADeXHYE,0.0004
730,4EGFkF6loPM,0.0101
731,L-DL6FTysO8,0.0002
732,1zUvUDCkPE8,0.0149
733,k0rGzpP5LlI,0.0276
734,JLtq1yN6E8o,0.1785
735,IfRfe9bIj_s,0.0003
736,4kWgdtkG1IE,0.0164
737,fzO3iuOayQs,0.014
738,94QrI_k-gSs,0.134
739,yMSrNfj-Hto,0.2721
740,NTWwCVfOck4,0.0012
741,lVSllM1CrMM,0.0236
742,jXus52Ed5uo,0.2857
743,5RkzOAlLBg4,0.0174
744,ZRFaNF4HMyI,0.149
745,e8ARfx_g_EY,0.0006
746,3AZsh6PfX0s,0.0134
747,l_9F8UgWa7Y,0.0016
748,hkuw8WTKc-A,0.1577
